-BEGIN HEADER-
NASA/POWER WCRP/CMIP6 NEX-GDDP Downscaled Daily Data 
Dates (month/day/year): 04/12/2023 through 04/17/2024 
Location: Latitude  40.8056   Longitude -73.9652 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 75.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     CMCC_ESM2 SSP370 Precipitation Corrected (mm/day) 
QV2M            CMCC_ESM2 SSP370 Specific Humidity at 2 Meters (g/kg) 
T2M             CMCC_ESM2 SSP370 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,QV2M,T2M
2023,4,12,4.23,5.05,5.47
2023,4,13,2.22,5.17,5.48
2023,4,14,0.0,4.29,6.07
2023,4,15,0.0,4.18,8.84
2023,4,16,0.0,4.74,10.72
2023,4,17,0.0,5.21,11.69
2023,4,18,0.0,5.77,12.2
2023,4,19,0.79,7.46,13.57
2023,4,20,3.17,8.8,14.29
2023,4,21,0.21,5.33,9.33
2023,4,22,0.0,4.35,7.81
2023,4,23,0.0,4.12,7.94
2023,4,24,0.0,4.55,10.4
2023,4,25,0.0,5.35,11.52
2023,4,26,0.0,6.25,10.21
2023,4,27,0.0,6.97,11.38
2023,4,28,1.06,7.88,13.91
2023,4,29,18.89,8.89,13.81
2023,4,30,54.58,8.16,12.17
2023,5,1,0.06,6.0,11.57
2023,5,2,0.0,6.36,11.83
2023,5,3,7.4,7.24,11.23
2023,5,4,1.47,8.23,13.15
2023,5,5,4.55,8.98,14.06
2023,5,6,0.53,8.21,13.96
2023,5,7,0.0,8.3,15.85
2023,5,8,19.39,9.58,15.64
2023,5,9,16.65,10.04,16.42
2023,5,10,5.0,7.67,13.54
2023,5,11,0.0,6.03,10.8
2023,5,12,0.0,8.47,14.63
2023,5,13,3.95,10.5,17.6
2023,5,14,0.8,6.23,12.71
2023,5,15,0.0,5.45,11.19
2023,5,16,0.0,7.41,13.63
2023,5,17,1.02,6.43,12.36
2023,5,18,0.0,5.19,10.98
2023,5,19,1.39,9.42,13.95
2023,5,20,0.25,10.99,18.28
2023,5,21,0.0,10.45,14.9
2023,5,22,0.0,9.44,16.64
2023,5,23,0.0,8.13,15.9
2023,5,24,11.09,10.88,15.72
2023,5,25,2.42,13.03,18.36
2023,5,26,0.15,12.15,17.26
2023,5,27,8.99,10.96,15.97
2023,5,28,0.0,7.63,14.38
2023,5,29,0.0,7.92,14.67
2023,5,30,0.03,10.0,18.59
2023,5,31,5.31,12.02,20.68
2023,6,1,11.34,11.48,16.72
2023,6,2,6.71,10.72,15.44
2023,6,3,0.0,9.83,15.4
2023,6,4,0.0,10.46,17.22
2023,6,5,5.57,12.05,17.83
2023,6,6,0.13,7.93,14.97
2023,6,7,0.0,8.27,16.05
2023,6,8,0.0,11.39,19.57
2023,6,9,0.0,13.75,22.71
2023,6,10,0.0,14.06,23.41
2023,6,11,0.0,14.57,23.71
2023,6,12,10.57,16.22,22.82
2023,6,13,1.57,15.22,22.9
2023,6,14,0.0,13.33,22.76
2023,6,15,0.0,14.12,23.5
2023,6,16,0.0,14.65,24.82
2023,6,17,0.0,13.67,23.27
2023,6,18,1.16,14.28,23.88
2023,6,19,3.96,16.92,25.14
2023,6,20,1.15,13.65,21.95
2023,6,21,0.0,10.06,17.68
2023,6,22,0.0,10.49,18.16
2023,6,23,0.0,11.73,20.7
2023,6,24,1.25,14.42,23.47
2023,6,25,0.0,13.51,21.82
2023,6,26,0.0,13.15,20.84
2023,6,27,0.17,14.62,21.32
2023,6,28,4.27,16.51,22.23
2023,6,29,0.0,13.78,20.2
2023,6,30,0.0,14.65,21.07
2023,7,1,0.0,15.76,24.73
2023,7,2,0.7,16.23,25.23
2023,7,3,0.94,15.67,24.37
2023,7,4,0.05,14.07,22.86
2023,7,5,0.38,14.11,22.13
2023,7,6,0.57,14.12,21.34
2023,7,7,19.2,14.05,20.26
2023,7,8,14.27,15.79,22.05
2023,7,9,0.0,13.74,21.08
2023,7,10,0.0,14.56,21.71
2023,7,11,1.31,16.3,23.67
2023,7,12,12.95,17.5,25.02
2023,7,13,0.0,15.16,24.16
2023,7,14,1.4,15.02,23.47
2023,7,15,14.61,17.02,24.35
2023,7,16,0.12,14.99,22.94
2023,7,17,0.0,13.99,23.18
2023,7,18,0.0,16.05,25.82
