date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
2020-01-01 00:00:00+00:00,16.264,5.9639997,10.949417
2020-01-02 00:00:00+00:00,14.864,6.7139997,10.005668
2020-01-03 00:00:00+00:00,10.164,5.664,8.011917
2020-01-04 00:00:00+00:00,12.514,5.264,8.122334
2020-01-05 00:00:00+00:00,10.864,4.014,6.970249
2020-01-06 00:00:00+00:00,14.514,3.1139998,8.326501
2020-01-07 00:00:00+00:00,14.164,3.9640002,9.384833
2020-01-08 00:00:00+00:00,12.964,6.264,8.897334
2020-01-09 00:00:00+00:00,12.514,5.164,8.22025
2020-01-10 00:00:00+00:00,13.014,3.2140002,8.4015
2020-01-11 00:00:00+00:00,14.064,4.164,9.203583
2020-01-12 00:00:00+00:00,17.064,5.4639997,10.849418
2020-01-13 00:00:00+00:00,16.964,6.7139997,11.261916
2020-01-14 00:00:00+00:00,17.514,6.864,11.911918
2020-01-15 00:00:00+00:00,17.114,9.964,13.116084
2020-01-16 00:00:00+00:00,15.014,9.564,11.447333
2020-01-17 00:00:00+00:00,11.414,5.014,9.203583
2020-01-18 00:00:00+00:00,15.314,4.964,10.024417
2020-01-19 00:00:00+00:00,13.014,4.064,8.580666
2020-01-20 00:00:00+00:00,13.764,4.814,8.732751
2020-01-21 00:00:00+00:00,13.714,5.014,9.3765
2020-01-22 00:00:00+00:00,15.114,6.064,10.128584
2020-01-23 00:00:00+00:00,15.114,4.964,9.9452505
2020-01-24 00:00:00+00:00,14.264,4.964,9.114
2020-01-25 00:00:00+00:00,14.164,4.314,8.597335
2020-01-26 00:00:00+00:00,12.464,3.914,8.280666
2020-01-27 00:00:00+00:00,14.114,5.314,9.468167
2020-01-28 00:00:00+00:00,16.164,6.164,11.8765
2020-01-29 00:00:00+00:00,16.264,7.564,11.397334
2020-01-30 00:00:00+00:00,13.914,7.014,9.866084
2020-01-31 00:00:00+00:00,14.314,6.914,10.3515005
2020-02-01 00:00:00+00:00,13.414,4.714,8.661917
2020-02-02 00:00:00+00:00,12.564,5.364,8.468167
2020-02-03 00:00:00+00:00,14.264,3.7140002,9.534835
2020-02-04 00:00:00+00:00,14.314,5.064,9.666081
2020-02-05 00:00:00+00:00,14.164,5.614,9.386916
2020-02-06 00:00:00+00:00,14.864,4.964,9.520249
2020-02-07 00:00:00+00:00,14.564,5.414,10.114001
2020-02-08 00:00:00+00:00,13.214,3.1139998,8.172333
2020-02-09 00:00:00+00:00,14.514,2.114,8.799417
2020-02-10 00:00:00+00:00,16.464,4.064,10.2890005
2020-02-11 00:00:00+00:00,16.964,5.914,11.243168
2020-02-12 00:00:00+00:00,17.764,5.364,12.124416
2020-02-13 00:00:00+00:00,18.814,7.414,13.130668
2020-02-14 00:00:00+00:00,17.914,8.014,13.409836
2020-02-15 00:00:00+00:00,16.614,10.564,13.5077505
2020-02-16 00:00:00+00:00,17.164,10.664,13.878582
2020-02-17 00:00:00+00:00,17.264,10.264,13.499416
2020-02-18 00:00:00+00:00,17.864,10.464,13.943169
2020-02-19 00:00:00+00:00,16.214,10.814,13.255669
2020-02-20 00:00:00+00:00,18.314,9.214,13.053584
2020-02-21 00:00:00+00:00,16.214,9.564,12.366082
2020-02-22 00:00:00+00:00,18.964,8.464,12.849418
2020-02-23 00:00:00+00:00,17.064,7.414,12.086917
2020-02-24 00:00:00+00:00,17.314,7.9639997,11.968167
2020-02-25 00:00:00+00:00,14.764,7.514,11.2015
2020-02-26 00:00:00+00:00,14.564,5.764,9.9035845
2020-02-27 00:00:00+00:00,16.914,6.514,11.682751
2020-02-28 00:00:00+00:00,17.964,6.864,12.586917
2020-02-29 00:00:00+00:00,19.664,8.464,14.028584
2020-03-01 00:00:00+00:00,19.264,9.264,13.709834
2020-03-02 00:00:00+00:00,17.964,8.564,12.643167
2020-03-03 00:00:00+00:00,18.514,8.714,13.626498
2020-03-04 00:00:00+00:00,17.464,8.364,12.543167
2020-03-05 00:00:00+00:00,19.014,8.9140005,12.978583
2020-03-06 00:00:00+00:00,16.914,9.264,12.755666
2020-03-07 00:00:00+00:00,15.914,8.064,11.330668
2020-03-08 00:00:00+00:00,18.414,7.314,13.088998
2020-03-09 00:00:00+00:00,20.264,7.314,15.030667
2020-03-10 00:00:00+00:00,19.364,10.664,14.930669
2020-03-11 00:00:00+00:00,21.114,10.114,15.918166
2020-03-12 00:00:00+00:00,22.514,11.664,16.818167
2020-03-13 00:00:00+00:00,18.564,11.214,14.051498
2020-03-14 00:00:00+00:00,18.364,8.9140005,13.361917
2020-03-15 00:00:00+00:00,19.464,8.714,13.095253
2020-03-16 00:00:00+00:00,19.414,9.714,14.593166
2020-03-17 00:00:00+00:00,20.114,9.114,14.761918
2020-03-18 00:00:00+00:00,20.164,10.214,15.216083
2020-03-19 00:00:00+00:00,19.764,8.314,13.516083
2020-03-20 00:00:00+00:00,18.514,9.114,13.034833
2020-03-21 00:00:00+00:00,18.014,9.464,13.47025
2020-03-22 00:00:00+00:00,17.814,9.564,13.391086
