P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
C-BAG-27-031,KathmanduN.P.,Kathmandu,Central,2.17,10.00,8.86,1.82,5.34,4.88,10.0000,Highest
C-BAG-25-027,LalitpurN.P.,Lalitpur,Central,1.72,2.26,8.40,0.82,4.61,2.62,5.3707,Highest
C-NAR-35-005,BharatpurN. P.,Chitawan,Central,2.21,1.47,5.38,2.53,3.96,2.34,4.8083,Highest
C-BAG-26-012,MadhyapurThimiN.P.,Bhaktapur,Central,2.45,0.85,8.23,0.89,4.56,2.12,4.3447,Highest
C-BAG-27-028,Jorpati,Kathmandu,Central,1.91,0.87,8.86,1.82,5.34,2.07,4.2407,Highest
C-BAG-26-003,BhaktapurN.P.,Bhaktapur,Central,1.82,0.84,8.23,0.89,4.56,1.91,3.9135,Highest
W-GAN-36-050,PrithbinarayanN.P.,Gorkha,Western,3.48,0.33,6.44,5.21,5.83,1.89,3.8764,Highest
C-JAN-20-025,KamalamiN.P.,Sindhuli,Central,2.54,0.40,5.19,6.55,5.87,1.82,3.7307,Highest
C-JAN-20-026,Kapilakot,Sindhuli,Central,8.02,0.12,5.19,6.55,5.87,1.77,3.6294,Highest
C-BAG-27-033,KirtipurN.P.,Kathmandu,Central,1.35,0.67,8.86,1.82,5.34,1.69,3.4689,Highest
C-BAG-27-022,Gonggabu,Kathmandu,Central,1.62,0.56,8.86,1.82,5.34,1.69,3.4640,Highest
C-BAG-27-030,Kapan,Kathmandu,Central,1.71,0.50,8.86,1.82,5.34,1.66,3.3955,Highest
C-BAG-24-065,PanautiN. P.,Kavrepalanchok,Central,3.30,0.28,6.46,3.31,4.88,1.65,3.3898,Highest
C-JAN-20-034,Mahadevsthan,Sindhuli,Central,10.00,0.07,5.19,6.55,5.87,1.61,3.3070,Highest
C-JAN-20-024,Kalpabrishykha,Sindhuli,Central,7.10,0.10,5.19,6.55,5.87,1.59,3.2566,Highest
C-NAR-31-020,HetaudaN.P.,Makwanpur,Central,1.04,0.87,4.99,3.64,4.32,1.57,3.2258,Highest
C-BAG-28-008,BidurN.P.,Nuwakot,Central,2.26,0.27,5.91,5.85,5.88,1.54,3.1583,Highest
W-GAN-38-001,Aabukhaireni,Tanahu,Western,4.08,0.17,6.43,4.04,5.24,1.53,3.1405,Highest
C-NAR-35-033,RatnanagarN.P.,Chitawan,Central,1.73,0.48,5.38,2.53,3.96,1.48,3.0392,Highest
C-BAG-27-016,Dhapasi,Kathmandu,Central,1.74,0.32,8.86,1.82,5.34,1.44,2.9542,High
C-BAG-27-023,Gothatar,Kathmandu,Central,2.00,0.27,8.86,1.82,5.34,1.42,2.9142,High
W-LUM-48-021,Gaidakot,Nawalparasi,Western,1.82,0.34,5.61,3.51,4.56,1.42,2.9061,High
C-BAG-24-006,BanepaN. P.,Kavrepalanchok,Central,2.28,0.25,6.46,3.31,4.88,1.41,2.8980,High
C-JAN-20-013,Dadiguranshe,Sindhuli,Central,9.30,0.05,5.19,6.55,5.87,1.39,2.8516,High
C-BAG-27-038,Manmaiju,Kathmandu,Central,1.20,0.41,8.86,1.82,5.34,1.39,2.8434,High
C-BAG-30-035,Nilkantha,Dhading,Central,2.01,0.21,6.82,5.15,5.99,1.35,2.7773,High
C-BAG-30-002,Baireni,Dhading,Central,2.97,0.14,6.82,5.15,5.99,1.35,2.7602,High
C-BAG-25-023,Imadol,Lalitpur,Central,1.87,0.28,8.40,0.82,4.61,1.34,2.7515,High
C-BAG-30-013,Gajuri,Dhading,Central,3.50,0.10,6.82,5.15,5.99,1.29,2.6491,High
C-BAG-30-034,Naubise,Dhading,Central,2.34,0.15,6.82,5.15,5.99,1.28,2.6219,High
C-NAR-31-016,Faparbari,Makwanpur,Central,2.76,0.17,4.99,3.64,4.32,1.27,2.6037,High
C-BAG-30-037,Pida,Dhading,Central,2.98,0.11,6.82,5.15,5.99,1.26,2.5936,High
C-BAG-25-009,Chapagaun,Lalitpur,Central,2.58,0.17,8.40,0.82,4.61,1.26,2.5840,High
C-BAG-30-018,Jogimara,Dhading,Central,4.18,0.08,6.82,5.15,5.99,1.26,2.5770,High
C-BAG-24-023,DhulikhelN. P.,Kavrepalanchok,Central,2.64,0.15,6.46,3.31,4.88,1.24,2.5360,High
C-BAG-30-004,Benighat,Dhading,Central,3.12,0.10,6.82,5.15,5.99,1.23,2.5214,High
C-NAR-35-017,Jutpani,Chitawan,Central,3.19,0.15,5.38,2.53,3.96,1.23,2.5200,High
C-JAN-20-030,Kyaneshwor,Sindhuli,Central,3.27,0.10,5.19,6.55,5.87,1.23,2.5155,High
C-BAG-27-037,Mahankal,Kathmandu,Central,1.84,0.18,8.86,1.82,5.34,1.22,2.5004,High
C-BAG-26-002,Balkot,Bhaktapur,Central,2.36,0.16,8.23,0.89,4.56,1.21,2.4733,High
C-BAG-30-005,Bhumesthan,Dhading,Central,2.61,0.11,6.82,5.15,5.99,1.20,2.4597,High
C-BAG-30-048,Thakre,Dhading,Central,2.85,0.10,6.82,5.15,5.99,1.20,2.4583,High
C-BAG-30-016,Jeewanpur,Dhading,Central,3.07,0.09,6.82,5.15,5.99,1.18,2.4271,High
C-BAG-30-026,Kumpur,Dhading,Central,2.65,0.10,6.82,5.15,5.99,1.18,2.4120,High
W-GAN-38-017,Devghat,Tanahu,Western,3.84,0.08,6.43,4.04,5.24,1.17,2.3917,High
C-NAR-35-021,Khairahani,Chitawan,Central,1.81,0.22,5.38,2.53,3.96,1.16,2.3880,High
C-BAG-26-011,Kautunje,Bhaktapur,Central,1.71,0.20,8.23,0.89,4.56,1.16,2.3762,High
C-BAG-30-011,Dhussa,Dhading,Central,3.49,0.07,6.82,5.15,5.99,1.15,2.3684,High
C-BAG-24-032,Gokule,Kavrepalanchok,Central,6.13,0.05,6.46,3.31,4.88,1.14,2.3398,High
C-BAG-30-028,Mahadevsthan,Dhading,Central,3.44,0.07,6.82,5.15,5.99,1.13,2.3151,High
C-BAG-30-029,Maidi,Dhading,Central,2.51,0.09,6.82,5.15,5.99,1.12,2.3042,High
C-BAG-27-024,IchangNarayan,Kathmandu,Central,1.04,0.25,8.86,1.82,5.34,1.11,2.2866,High
C-BAG-30-020,Kalleri,Dhading,Central,2.49,0.09,6.82,5.15,5.99,1.11,2.2689,High
C-JAN-22-004,BhimesworN.P.,Dolakha,Central,0.86,0.23,7.53,5.86,6.70,1.10,2.2600,High
C-BAG-24-066,Panchkhal,Kavrepalanchok,Central,2.16,0.13,6.46,3.31,4.88,1.10,2.2573,High
